geo,Difference Value 13,Difference Value 14,Difference Value 15,Difference Value 16,Difference Value 17,Difference Value 18,Difference Value 19,Difference Value 20,Difference Value 21,Difference Value 22
PT11,6.1,6.7,6.6,4.6,5.3,4.0,4.8,3.5,4.3,3.2
PT15,-1.6,1.4,0.6,-1.6,-1.3,-0.2,1.0,3.1,2.9,3.8
PT16,5.6,4.0,4.3,4.2,4.4,4.0,4.2,3.2,1.6,2.5
PT17,1.5,2.5,2.6,1.2,3.8,3.6,4.3,2.2,-0.1,2.4
PT18,3.9,2.8,5.6,5.4,4.9,3.1,3.9,1.4,0.1,1.7
PT20,0.0,3.5,2.1,2.3,2.7,5.3,5.8,3.2,2.8,0.8
PT30,-2.0,0.6,-2.7,-2.8,1.4,-1.2,1.1,1.9,2.9,1.5
SE11,2.4,2.4,2.1,2.2,1.9,0.3,0.8,2.3,3.0,3.2
SE12,5.0,4.2,3.9,2.7,2.3,3.9,2.8,0.7,1.2,3.7
SE21,5.9,3.6,3.4,2.1,3.0,5.5,5.5,2.6,4.8,4.9
SE22,4.0,3.5,2.4,0.1,0.4,1.3,2.0,4.2,3.8,5.1
SE23,4.1,4.4,3.3,0.9,1.9,1.9,3.5,3.0,3.9,4.4
SE31,5.1,3.3,2.2,1.8,3.0,1.5,1.0,3.0,4.6,2.4
SE32,1.8,4.5,3.1,2.8,1.4,4.1,0.6,2.4,0.8,2.9
SE33,0.9,3.0,0.6,0.1,0.0,1.3,4.0,2.7,3.2,3.2
